year,rank,score
2025,1,9.23
2025,2,9.09
2025,3,8.96
2025,4,8.85
2025,5,8.7
2025,6,8.69
2025,7,8.65
2025,8,8.63
2025,9,8.6
2025,9,8.6
2025,11,8.54
2025,12,8.52
2025,13,8.5
2025,14,8.44
2025,15,8.35
2025,16,8.31
2025,17,8.28
2025,18,8.19
2025,19,8.15
2025,20,7.94
2025,21,7.92
2025,22,7.85
2025,23,7.73
2025,24,7.42
2025,24,7.42
2025,26,7.15
2025,27,7.04
2025,28,6.96
2025,29,6.92
2025,30,6.9
2025,31,6.88
2025,32,6.82
2025,33,6.77
2025,34,6.75
2025,35,6.65
2025,36,6.6
2025,37,6.58
2025,38,6.58
2025,39,6.56
2025,40,6.5
2025,41,6.39
2025,42,6.35
2025,43,6.28
2025,44,6.21
2025,45,6.1
2025,46,6.1
2025,47,6.02
2025,48,5.96
2025,49,5.85
2025,50,5.83
2025,51,5.81
2025,52,5.65
2025,53,5.63
2025,54,5.6
2025,55,5.48
2025,56,5.44
2025,57,5.38
2025,58,5.13
2025,59,4.98
2025,60,4.94
2025,61,4.83
2025,62,4.55
2025,63,4.5
2025,64,4.48
2025,65,4.02
2026,1,9.4
2026,2,9.3
2026,3,8.9
2026,4,8.9
2026,5,8.8
2026,6,8.8
2026,7,8.7
2026,7,8.7
2026,9,8.6
2026,10,8.5
2026,11,8.5
2026,12,8.3
2026,13,8.3
2026,14,8.3
2026,15,8.1
2026,16,8
2026,16,8
2026,18,8
2026,19,8
2026,20,7.9
2026,21,7.8
2026,22,7.8
2026,23,7.7
2026,24,7.7
2026,25,7.7
2026,26,7.6
2026,27,7.5
2026,28,7.4
2026,29,7.3
2026,30,7.1
2026,31,7.1
2026,32,7
2026,33,7
2026,34,7
2026,35,6.9
2026,35,6.9
2026,37,6.9
2026,38,6.9
2026,39,6.9
2026,40,6.5
2026,41,6.5
2026,42,6.4
2026,43,6.4
2026,44,6.4
2026,45,6.3
2026,46,6.3
2026,47,6.3
2026,48,6.1
2026,49,6.1
2026,50,6
2026,51,6
2026,52,6
2026,53,5.9
2026,54,5.8
2026,55,5.7
2026,56,5.7
2026,57,5.5
2026,58,5.5
2026,59,5.5
2026,60,5.4
2026,61,5.3
2026,62,5.2
2026,63,5.2
2026,64,5
2026,65,5
2026,65,5
2026,67,5
2026,68,4.3
2026,69,4.1
2026,70,4
